Designator,Mid X,Mid Y,Rotation,Layer
C1,87.725000,-66.200000,0.000000,Bottom
C2,87.775000,-62.930000,0.000000,Bottom
C3,87.775000,-60.420000,0.000000,Bottom
C4,87.775000,-57.910000,0.000000,Bottom
C5,87.775000,-55.400000,0.000000,Bottom
C6,87.775000,-52.890000,0.000000,Bottom
C7,72.225000,-60.800000,0.000000,Bottom
C8,38.825000,-88.900000,0.000000,Bottom
C9,33.768889,-170.318699,180.000000,Bottom
C10,42.000000,-176.425000,90.000000,Bottom
C11,42.000000,-180.275000,90.000000,Bottom
C12,32.400000,-143.825000,-90.000000,Bottom
C13,34.524998,-160.100002,180.000000,Bottom
C14,34.699998,-152.700002,90.000000,Bottom
C15,38.100000,-90.500000,0.000000,Bottom
C16,49.500000,-89.300000,180.000000,Bottom
C17,46.500000,-92.300000,180.000000,Bottom
D2,45.156389,-162.718699,0.000000,Bottom
D3,45.156389,-165.918699,0.000000,Bottom
F1,58.000000,-176.200000,180.000000,Bottom
J1,53.946400,-53.050000,90.000000,Bottom
L1,36.299998,-157.186202,-90.000000,Bottom
Q1,60.237500,-31.750000,180.000000,Bottom
R2,74.975000,-57.000000,0.000000,Bottom
R3,80.575000,-22.000000,0.000000,Bottom
R4,60.521400,-54.550002,180.000000,Bottom
R5,60.521400,-52.750002,180.000000,Bottom
R6,60.521400,-50.950002,180.000000,Bottom
R7,60.521400,-49.150002,180.000000,Bottom
R8,63.800000,-27.600000,-90.000000,Bottom
R9,50.200000,-180.800000,0.000000,Bottom
R10,49.775000,-184.400000,0.000000,Bottom
R11,33.143889,-175.143699,90.000000,Bottom
R12,41.575000,-162.600000,180.000000,Bottom
R13,44.343889,-168.543699,-90.000000,Bottom
R14,34.943889,-175.143699,90.000000,Bottom
R15,43.718889,-171.118699,0.000000,Bottom
R16,36.743889,-175.143699,90.000000,Bottom
R17,38.543889,-175.143699,-90.000000,Bottom
R18,27.375000,-139.600000,0.000000,Bottom
R19,29.600000,-143.825000,90.000000,Bottom
R20,27.699998,-154.000000,-90.000000,Bottom
R21,26.874998,-157.500002,180.000000,Bottom
R22,93.000000,-83.000000,0.000000,Bottom
R23,56.600000,-58.800000,-90.000000,Bottom
R24,23.375000,-70.400000,180.000000,Bottom
R25,30.975000,-70.400000,0.000000,Bottom
R26,88.775000,-114.800000,180.000000,Bottom
R27,89.000000,-72.000000,0.000000,Bottom
R28,88.975000,-75.000000,0.000000,Bottom
R29,76.275000,-76.600000,180.000000,Bottom
R30,83.200000,-30.025000,90.000000,Bottom
R31,86.400000,-30.025000,90.000000,Bottom
R32,64.550000,-30.800000,180.000000,Bottom
R33,57.000000,-32.625000,-90.000000,Bottom
R34,47.575000,-82.700000,180.000000,Bottom
SW1,79.800000,-63.000000,180.000000,Bottom
SW2,75.200000,-26.600000,180.000000,Bottom
SW53,20.750000,-173.800000,90.000000,Bottom
U1,81.860000,-42.100000,90.000000,Bottom
U2,32.049999,-157.300001,0.000000,Bottom
U3,57.600000,-170.700000,90.000000,Bottom
U4,38.593700,-170.193700,0.000000,Bottom
U5,44.107600,-88.535000,180.000000,Bottom
U6,28.305750,-89.300000,0.000000,Bottom
D1,57.412500,-22.400000,0.000000,Top
D4,38.700000,-86.600000,180.000000,Top
D5,50.700000,-86.600000,180.000000,Top
D6,62.600000,-86.600000,180.000000,Top
D7,74.800000,-86.600000,180.000000,Top
D8,86.700000,-86.600000,180.000000,Top
D9,38.800000,-98.600000,180.000000,Top
D10,50.600000,-98.600000,180.000000,Top
D11,62.200000,-98.600000,180.000000,Top
D12,65.000000,-103.600000,180.000000,Top
D13,82.800000,-95.200000,180.000000,Top
D14,38.800000,-108.600000,180.000000,Top
D15,50.600000,-108.600000,180.000000,Top
D16,62.600000,-108.600000,180.000000,Top
D17,82.900000,-108.600000,180.000000,Top
D18,88.900000,-101.800000,180.000000,Top
D19,38.600000,-118.600000,180.000000,Top
D20,50.800000,-118.600000,180.000000,Top
D21,62.700000,-118.900000,180.000000,Top
D22,74.600000,-118.600000,180.000000,Top
D23,86.800000,-118.600000,180.000000,Top
D24,38.800000,-128.600000,180.000000,Top
D25,50.800000,-128.600000,180.000000,Top
D26,62.700000,-128.600000,180.000000,Top
D27,74.800000,-128.600000,180.000000,Top
D28,86.700000,-128.600000,180.000000,Top
D29,38.700000,-138.600000,180.000000,Top
D30,50.800000,-138.600000,180.000000,Top
D31,62.700000,-138.600000,180.000000,Top
D32,74.700000,-138.600000,180.000000,Top
D33,86.800000,-138.600000,180.000000,Top
D34,38.800000,-148.600000,180.000000,Top
D35,50.700000,-148.600000,180.000000,Top
D36,62.800000,-148.600000,180.000000,Top
D37,74.900000,-148.600000,180.000000,Top
D38,86.800000,-148.600000,180.000000,Top
D39,38.600000,-158.600000,180.000000,Top
D40,50.900000,-158.600000,180.000000,Top
D41,62.800000,-158.600000,180.000000,Top
D42,74.700000,-158.600000,180.000000,Top
D43,86.900000,-158.600000,180.000000,Top
D44,38.800000,-168.600000,180.000000,Top
D45,50.900000,-168.600000,180.000000,Top
D46,62.800000,-168.600000,180.000000,Top
D47,74.800000,-168.600000,180.000000,Top
D48,86.800000,-168.600000,180.000000,Top
D49,38.800000,-178.600000,180.000000,Top
D50,50.700000,-178.600000,180.000000,Top
D51,62.700000,-178.600000,180.000000,Top
D52,74.900000,-178.600000,180.000000,Top
D53,86.700000,-178.600000,180.000000,Top
J3,54.500000,-184.250000,0.000000,Top
R1,61.512500,-22.400000,180.000000,Top
SW3,33.500000,-82.500000,0.000000,Top
SW4,45.500000,-82.500000,0.000000,Top
SW5,57.500000,-82.500000,0.000000,Top
SW6,69.500000,-82.500000,0.000000,Top
SW7,81.500000,-82.500000,0.000000,Top
SW8,33.500000,-94.500000,0.000000,Top
SW9,45.500000,-94.500000,0.000000,Top
SW10,57.500000,-94.500000,0.000000,Top
SW11,69.500000,-99.500000,0.000000,Top
SW12,75.400000,-92.750000,0.000000,Top
SW13,33.500000,-104.500000,0.000000,Top
SW14,45.500000,-104.500000,0.000000,Top
SW15,57.500000,-104.500000,0.000000,Top
SW16,75.400000,-106.200000,0.000000,Top
SW17,81.500000,-99.500000,0.000000,Top
SW18,33.500000,-114.500000,0.000000,Top
SW19,45.500000,-114.500000,0.000000,Top
SW20,57.500000,-114.500000,0.000000,Top
SW21,69.500000,-114.500000,0.000000,Top
SW22,81.500000,-114.500000,0.000000,Top
SW23,33.500000,-124.500000,0.000000,Top
SW24,45.500000,-124.500000,0.000000,Top
SW25,57.500000,-124.500000,0.000000,Top
SW26,69.500000,-124.500000,0.000000,Top
SW27,81.500000,-124.500000,0.000000,Top
SW28,33.500000,-134.500000,0.000000,Top
SW29,45.500000,-134.500000,0.000000,Top
SW30,57.500000,-134.500000,0.000000,Top
SW31,69.500000,-134.500000,0.000000,Top
SW32,81.500000,-134.500000,0.000000,Top
SW33,33.500000,-144.500000,0.000000,Top
SW34,45.500000,-144.500000,0.000000,Top
SW35,57.500000,-144.500000,0.000000,Top
SW36,69.500000,-144.500000,0.000000,Top
SW37,81.500000,-144.500000,0.000000,Top
SW38,33.500000,-154.500000,0.000000,Top
SW39,45.500000,-154.500000,0.000000,Top
SW40,57.500000,-154.500000,0.000000,Top
SW41,69.500000,-154.500000,0.000000,Top
SW42,81.500000,-154.500000,0.000000,Top
SW43,33.500000,-164.500000,0.000000,Top
SW44,45.500000,-164.500000,0.000000,Top
SW45,57.500000,-164.500000,0.000000,Top
SW46,69.500000,-164.500000,0.000000,Top
SW47,81.500000,-164.500000,0.000000,Top
SW48,33.500000,-174.500000,0.000000,Top
SW49,45.500000,-174.500000,0.000000,Top
SW50,57.500000,-174.500000,0.000000,Top
SW51,69.500000,-174.500000,0.000000,Top
SW52,81.500000,-174.500000,0.000000,Top
